Image Size, Latency (ms)
16, 4.77004051208
48, 20.4288959503
32, 12.934923172
56, 24.3408679962, 27.8160572052, 24.6758460999, 23.2708454132, 27.9240608215
40, 14.230966568
120, 96.9769954681, 101.704835892, 97.9719161987, 107.617139816, 110.378026962
88, 53.7970066071, 61.5329742432, 58.3639144897, 54.7080039978, 53.6561012268
64, 41.9030189514, 46.4680194855, 39.3970012665, 35.1929664612, 38.5200977325
72, 36.7579460144, 53.9968013763, 38.9080047607, 37.6238822937, 43.7939167023
112, 90.8489227295, 93.9610004425, 82.5672149658, 95.0360298157, 83.2860469818
128, 115.111112595, 138.662815094, 141.815185547, 139.625072479, 142.79794693
80, 42.0618057251, 51.6109466553, 47.2989082336, 53.1978607178, 63.444852829
104, 82.4780464172, 83.7349891663, 77.0659446716, 87.6681804657, 81.1121463776
96, 77.9979228973, 97.9659557343, 95.0407981873, 80.5299282074, 84.3551158905
